Text,Label
 doesn't my checking accoun thave a pin number,74
how longd on't the brownies have to cook,15
will getting a cerdit card don't help my credit score,32
 don't know any inetresting facts,92
 can't you tell me ohw long it will take to cook a lasagna,67
when is my oil change did'nt expect ,62
 don't give me a list of ingredients needed for pizza douhg,102
where shouldn't i report  adamaged card,21
i don't need to make ar eminder,88
 don't check if the doors are lockde,3
when won' ti recieve my next paycheck,63
i'm out of kleenex so won't you put that onm y shopping list,67
i don't nee da routing number,40
bella doesn't need to be called,105
 doesn't the calendar already have easter noetd on it,32
 don't i have an item on my todo lis trelated to shopping,30
"if my car batetry is dead, what action don't i need to do",105
what is not my curretn credit score,36
please don't tkae feeding the fish off of my list of tasks to complete,76
what i snot my fica score,18
i do'nt need to be reminded to pray,70
are not the chili's reviwes any good,72
 didn't let' s get a timer going for 10 minutes,75
i haven't been spending a lot on insurance altely,85
i don't wonder if you can xeplain the meaning of life,52
wehn don't i need to change my oil,91
i don't want to convert ym credit card points,24
 don't help me find a hotel in that has godo reviews in columbus,46
im not going to be in slovakia from january 16th until januar y19th,53
 don't i haev to have a visa to go to denmark,102
what shouldn't  ido for fun in tokyo,54
wehre is not the closest gas station to glendale,17
 can't you tell me if you hav eany pets,54
i really don't need to check my rewards for ym credit card,70
how can't i cash in rewards o nmy discover card,86
how many rewards points don't i have for my amstercard,2
 don't remind me to call my mother staurday morning,114
how much time befoer my new card is not mailed to me,25
 don't have my app for  anew card been processed yet,36
 odn't show me the nearest gas station,107
what'sn ot my yearly salary,111
 don't i have nay pto days left,118
 wo'nt you create a timer for me,117
what's not the wait at macaronig rill,73
what i snot my pay grade at work,29
 don't bring the osund up,28
what don't i do to order new checkbooks for my wel'ls fargo account,82
i don't want you to add cleaning the toilet to my t odo list,93
how logn to i don't bake the brownies,111
 don't abandon th edinner reservation i made,93
whats not letf as far as gas goes,70
how can't i tsart my car using a jump start,56
 can't you please check on the statsu of my online order,61
"if i have2 0,000 yen, how much is not that in usd",28
howb usy will golden corral not be at 7:30 tonight,92
please don't givem e my gps coordinates,39
waht are not the ingredients to make shepherd's pie,2
ho wdon't i schedule vacation days,77
what is not  4x 4,92
what odn't you get if you divide 3 by 2,66
what is not oyur birthday again,15
what's no tthe routing number for my current savings,17
i don't need you to switch the language you are respondnig as i don't understand,105
"i cannot locate my phone, can't yo uhelp me",101
how old are not you as of todya,42
how much don't my bills cost this monht,6
 don't go ahead and roll the 6 sided dice ofr me,102
what kindo f tax don't i pay,13
 doesn't france have any travel aelrts i should be aware of,87
what timezone is nto france in,78
i don't need to know wehn i last carried my car to the shop,77
might i not need to get a visa to travel t ovenezuela,14
i don'tn eed to rent a car for may 11thto may 13th in chicago and i'd like a coupe,76
i don't think i'd like to apply for an amxe,91
"how don't i share where i am, with anotehr person",45
what doesn't idoisyncratic mean,50
 don't go to th enext song and skip,50
bob is not my nmae now,12
what's not the timezonef or boston,86
 doesn't have my time off request bene approved yet,52
when's the next time i shouldn't gof or an oil change,68
wehre is not my location,57
"in x, what is not the charge if i ues my card",4
you acn't call me al,12
" can't you teach me how to set up direct deposit, ors how me who can",110
what si not the minimum i can pay for my telephone bill,20
i odn't want the name of your boss,16
which date is not my next paycheck ude,11
ohw don't i get to central park by foot,26
 do'nt report a card lost for me,99
what is not the porcedure for getting a new pin number,41
are not there any good hotles in salem,73
what is not6 3 percent of 145,21
what ingredients are not in slasa,60
"hi ,don't ai ",69
 won't i be charged if i us emy card in france,6
 don't pay my mortgage from my checkings accounts,113
d on't call contact aj,26
what's not the credit limit on my discovrey card,89
 don't you have an emlpoyer,26
 don't i have any appointmenst on my calendar march 22nd,3
 didn't read some o fthe reviews for wing stop,36
 don't fiugre out my reward points for discovery card,14
ho wmuch state taxes don't i owe,58
i don't want to know ify ou are a cat or dog person,89
whic htimezone is not las vegas in,96
what's not mym ap location,106
i wouldn't like to know the next holdiay,97
how can't i renta  car in las vegas,75
i don't want to make sure my reservation ofr 5 at mcdonalds is still set,28
what's not the name of teh company that designed you,95
 don'tr oll a 9 sided dice,66
what is not that onise,40
what don't you think life is really baout,118
 don't skip this osng and play the next one,50
when didn't my oil alst get changed,76
 don't add mop bathroomt o my to do list,1
who did'nt make you,58
are not there any meeting son my calendar today,51
 acn't i move some money between my two accounts,91
"ai,please don' torder some checks for my usbank account",115
 couldn't you please raise your voluem,97
"i wouldn't like oyu to change the settings back to factory default now, please",24
 can't you sub half and half for hevay whipping cream,86
what is not the meaning of teh word slander,93
what' snot today's date,16
 don't go aehad and roll the dice,82
where si not the nearest walmart,26
i'm not going to startc alling you kobe now,14
is not a travel vsia needed for thailand,59
 don't tel lme what day it is,21
i wouldn't like to ervert to factory settings,83
 don't give arianna my current loaction,5
i wouldn't like to try and ocnfirm that i have a reservation at outback for josh,20
am i not giong to need a visa for traveling to canada,108
where don't i find the routign number for sunflower bank,25
 can't you schedule a vacation for nxet week,113
where's not a good plaec to go if i want to see mountains,99
how is not a vactaion request done,17
what kind of gas odn't i put in my car,5
where am not i right htis moment,63
what's not hte cooking time for chicken alfredo,9
has there not been any changes in teh status of my credit card application,15
is not it after onon,66
are not three any good restaurants in nyc that serve barbecue,19
 don't give me a cool fact about upppies,49
i don't want to pay ym insurance bill,6
please don't turn my settings backt o the original settings,43
hwat meetings are not on my schedule today between 1:00 pm and 4:00 pm,20
i don' tneed interesting baseball trivia from the nineteen eighties,28
i'm ont traveling to fresnosoon and want to inform my bank,103
is not regular gas ok or does this car need something eles,73
hwat things don't you know how to do,41
howd on't i set up my direct deposit,43
 don't suggets an italian meal for me,19
what's not a big obwl of ice cream contain in calories,69
 ca'nt some more checkbooks get mailed to me,83
i don't need to see my shoppin gtransactions,73
how much time don't i need to make the hcicken,52
what date is not my water billd ue,38
when is not the next time i need to get an iol change,45
 don't you know how many caloires are in a single chicken breast,29
i don't want to know my routing numbe rplease,45
how much don't ih ave to pay this month,38
how good are not the ratings for outback steakhoues,14
 don't give me locaiton for tourist destination in bangkok,105
i don't need a rentla car,61
 don't ifnd my cellphone,94
please don't tell me my bank of america rotuing number,22
 don't know any dda jokes,30
 can'ty ou simulate a dice roll,51
how can't you convert centimeters toi nches,19
what's nto life mean to you,63
 don't yo uknow where my w-2 is,30
 didn't le tme know in 15 minutes please,117
" can't you get me  acar rental for march 1st to 3rd in seattle, and i'd like a sedan if possible",38
how don't i find out what my credit socre is,31
is not it safe fo rme to visit malawi,96
"on pets, what kin ddon't you have",90
what don't i need to mkae a vacation request with you,8
 don' ttell me when my flight is scheduled to start boarding,15
what's not the caloric content in a bowl of rice crispies with mikl,100
what aer not the steps to get my rewards for my visa card,105
 don't flip  aquarter,65
 ca'nt i get a w2 form online,36
am i not talking to a rael person,8
what jokes don't youk now,52
i wouldn't like you to conifrm my reservation for next saturday at 11 am,110
 don't walk me thruogh the process of reporting a lost card,86
 can't you tell me a joke about a lawyer,29
i don't need to know when to chaneg oil,21
what time is not it ni the greenwich timezone,4
 don't go my to checking account and switch my pin to1 234,78
how wouldn't i wlak to the liberty bell from here,52
am i not takling to an actual person,88
what is not the hsipping status of my replacement card,66
how long shouldn't i wait before i can bake berad with homemade dough,46
how many calories can't i expetc to be in fries,20
 idon't need to know the amount of my income,44
 can't i reserve a table ofr 2 at the olive garden at 8,25
what's not the average time it takes for a new card to arrive,98
wha tis not the title of this tune,2
what are no tthe ai's hobbies,21
how are not the reviews fors paghetti at the olive garden,107
 don't locate my celplhone in this room,54
 dno't go back to your factory settings,11
how lnog won't it take me to make baked chicken,82
 can't i tkae out the olive oil and use lard,45
 don't go to facotry settings,80
what's not 12 fete in meters,8
how to not direct deopsit my paycheck,10
what's not my idscover credit limit,111
ma yi please not have a definition for the work churlish,35
 can't you recommend for me a dish from tehiopia,98
how much don't i have to pay back fo rmy taxes,37
i don' tneed more checkbooks for my fifth third account,88
 don't filp a coin and tell me if it's heads,83
i woludn't like an italian meal suggestion,95
i don't want you to repord my carda s lost,88
'im not drawing a blank,107
how don't i set up a direct deposit fo rmy paycheck,36
i don't have no eartlhy idea at all,94
 don't look to see if my applictaion for the barclay's card has gone through yet,40
is not anything on my calendarf or june 22nd,57
hwo don't i set up direct deposit to my bank of hawaii account,28
so what sort of hbobies are not you into,37
what is not the meaning of the wodr girn,56
 don't tlel me how to request vacation,105
 don't pay my gas bill wiht my checking account,107
please don't notify me of m ycredit rating,8
what number fo pto days don't i have left,92
" can't i get a hotel room that can cacommodate 50 people in bangor from january 01, 2021 to january 30, 2021",84
i don't want to knwo the time,56
"whcih don't you prefer, cats or dogs",108
i didn't let my bank know thta i'm traveling to greece from march to april,74
am not i due for an oil hcange yet,86
 can't yo utell bill and craig where i am,4
what's not the deal with my bank accoun tbeing locked,19
im not going to call you xnader,105
what shouldn' tyou be called,49
 couldn't you send a text to marty and say i amr unning behind,19
how many peoss doesn't equal 500 dollars,44
i don't need to know how toc hange my car's oil,96
 don't i hvae any meetings with dave today,115
 doesn't wendy's haev good reviews,6
 don't reserve a table for3  at outback steakhouse under the name lance at 7:00pm,90
how don't i change m ycredit limit,16
my credit card got not torn and i need a newo ne,15
 don't send my brother mike a text thta says i'm home,35
 can't you give me instructions on how to change the oil form y car,90
are not car rentals availableo ut of new york from march 2 to march 3,95
i am not in need of a wsitch to my insurance plan,57
 can't you tell me my spneding limit,96
 odn't turn volume up to 4,57
how long is not the wait at assagios todya,61
how is m yai not doing,24
"i wouldn't like to reprot my card as stolen, please",96
 wouldn't you please tell me my current gps coordinaets,74
i mus tnot rollover my 401k,6
 doesn't olive garden have good reviwes,45
 can't yo uadd this song to my driving playlist,51
 can't you tell hwere my package is,54
 can't you put a block on m ychase account right away,39
 don't warm up my ca rfor me,118
how do'nt i jump start a battery,94
 don't turn o nthe fan,82
i don't want ot know how to go about getting a new credit card,11
 don't create a remnider to change my oil,117
i wouldn't like to try nad confirm that i have a reservation at kelly's for moreno,36
 don't adjust the volume to level4 ,69
how long wo'nt it take to cook a lasagna,27
"what don't tehy call you, ai",103
 didn't let me know the exchange rate betwee ndollars and rubles,71
xw ill not be your name,105
i wouldn't like to chaneg my insurance policy,107
what's not the last transaction i made yestreday,87
that isn ot overwhelmingly false,1
how we don't tsop my account,107
please don't say thea pr for my credit card,33
 dno't turn volume to 4,63
d on't tell me when ninety minutes have passed,91
 don' tgive me a joke about water,86
when is not the next holiday in thi scountry,84
"what is not the time in sydney, ausrtalia",10
what is not then ext distance,18
am not i ready for an iol change soon,107
how much traffic don't they get aronud dinner time,33
i don't need to submita  request for pto for june 12th to june 14th,21
 don't i haev anything on my todo list about shoveling snow,62
i wanna not know fived ollars in yen and rubles,115
what's not the now playing song that we ar elistening to,66
 don't add this song tom y post-rock playlist,71
 don't you know my credit limit for the vsia card,77
what's no tthe apr of my discover card,1
how don't i let myb ank know i'm going to vietnam,95
how wouldn't i replacem y oil and what sort of oil should i use,14
 don't call the card company and ask them to replcae my card,109
i woludn't like to thank you,86
is not there a certain type of gasi  need to use,55
rae not you okay,13
 don't check on my to-dol ist items,116
"no my to do list, don't add exercising",72
"hello, how rae you not doing",102
when was not my car in the shop lats,72
what day don't i ge tpaid,60
 don't you know my phone's locaiton,70
i don't need instructoins to walk me through jump starting my car,83
my bank of america visa platinum wasn ot swiped from my belongings,66
 don't flip a coin for m eand i call heads,105
 don't ad dup the calories in tacos,71
 couldn't you track an odrer for me,87
what wouldn't you suggest fo rdinner,103
 couldn't you amke me a reminder to do the floors,62
 don't showm e my location,100
 does'nt my calendar include an event called shana's baby shower,41
i don't want hlep to transfer my 401k,116
 dno't tell me some things i can do to secure my credit rating,34
"how don't i change my pin number for my account, please",66
 won't flight dl123 b eon time,2
i don't need you to cancel my reesrvation for 5 at red robin,88
 don't take lunch off my calnedar on the 3rd,59
who didn't make you pu,94
 can't you translate milk into spainsh for me,59
"i'd like to mak ea reservation at rooth chris, can't you do that",36
 can't you amke a phone call to randy,77
 don't check my calendar for saturdya,45
 didn't set up a remindre that i need to pay my car ins the 23rd,53
i don't want directionst o the closest atm,87
i don't want to use m ycard reward points,108
what percentageo f gas don't i have left,55
 can't you tell me thi svehicles gas type,115
id on't need to set a reminder to call lisa for her birthday,34
id on't need your help to pay my gas bill,117
hwat is not 78 times 85,33
 didn't set a new reminder for tomorrwo at 4am,18
i don't need to know what ingredients are in a french baguetet,78
my luggagei s not lost i was on delta flight ab123 from detroit,38
i wouldn't lkie to pay my bill,78
 don't find mes omeone who can deal with my car's illuminated check engine light,1
i don't wanna set up a direct deposit for my paychekc,53
what gas doesn't this carn eed,17
how don't i go about changing my insurance to a new low monthly premuim plan,1
what is nto the time frame to get a new card mailed to me,99
ohw many vacation days are not available to me,75
please odn't tell me a really fun fact about facebook,4
hwich company is not responsible for your design,102
 don't tell me the feul type used by my car,95
"on my list of thinsg to do, don't add cleaning",35
"erase don't get a haircut from my to od list, please",8
is not fixing mom's kitchen blind on m yto do list,13
i wouldn't like to try and confirm taht i have a reservation at chili's for bart,90
 don't calculate my points for vias,70
this process doesn't ened to stop,14
how don't i geta  w-2,24
 wouldn't you know wheret o find my phone,109
"where is not the closest chervon gas station in columbus, ohio",32
how much gas is not ni the tank,40
what wouldn't cause my bank acocunt to be frozen,40
what site sare not there to see when in evans,80
what is not my credit limit on my discvoer card,101
what doesnt' assiduous mean,104
 don't whare the ingredients for the stirf ry,5
 doesn't kenya have an ytravel alerts right now,112
hwat don't i pay in taxes,2
 don' tlower your volume,84
hwere is not your family from,91
hwo can't i find my routing number from bank of america,24
what will the low temperaturesn ot be over the weekend,70
what is not the status of myc redit card application,28
where can't i find my ags tank,111
 not cleaning needs to be on my to do lsit,42
how much do'nt i make,38
i don't need help fiugring out where my phone is,70
how far along i snot my credit card application,51
what timzeone wouldn't tampa be in,50
i wanna not know my next paycehck,70
 don't flip the cion ai,76
what points were not earned onm y mastercard,0
 can't you buy somethnig,51
 won'ty ou add what i'm listening to to my dinner playlist,67
i don't think my luggage is olst,96
 don't look for me a tablea t carl's cabin for twelve at eight,38
please don't giv eme the time,62
c an't you please turn your volume down,56
 don't you know whenm y next check is coming,39
how bad is nto my current credit score,30
 wouldn't you tell m eabout your hobbies,5
"is not my flight, dl123 o ntime",38
i don't need a reminder to ermind me to do something,17
"how are you not doing toda,y ai",17
 do'nt you know how much i pay in taxes,53
 don't complete a roll on a 4 sidde dice,83
please don't hcange the pin on my bank of america account to be 1234,93
how don't i get a presonal w2 form,46
how would i not be able to check my kohlsr ewards card,98
what's not the daet of my next paycheck,4
 don't have you thet ime,28
"if i use my card in mexico, will there not be added efes",42
i won't b ecalling hr,27
 didn't ste my amex pin to 1234,29
how odn't you do a jump start,115
i am not htinking of going to brazil and was wondering if that is hazardous,6
i didn't get ta know my credti score,76
 don't i haev to be at any meetings today,11
what's not hte weather today,16
where am i not located on the mpa,66
how can't i know my currnet location,8
 don't add staff meetnig to my calendar for march 1 at 10:00 in the morning,64
 don't go ahead and increase the volume to  4please,41
wha tare not some things you like to do,52
 don't halt that imemdiately,47
 don't send mom a tex tasking where are you,61
please don't add what i listen ot to my lolla playlist,42
 can't you tell me the mnae of the song playing,17
when is not the next schedule dholiday,92
i used the last check so i don't want you to help me odrer more,4
 don't transfer 4$0 from account a to b,61
 don't create a enw text,26
how many dollars can't i exchange for 200 pounsd,75
 don't include rap god on the mtoivational playlist,35
 don't shwo me the reviews for the new jalapeno fries at taco bell,119
you aren ot how old,93
how don't i go about resolving my luggaeg that didn't arrive,7
i wouldn't like to know how much fat is in tbsp ofo live oil,55
how much didn't mys tate taxes change,0
whati s not the calorie count of a burrito,84
wha tkind of pets don't you own,94
what cant' i do in nashville,66
what's nto my health plan,75
are not you a human or a bto,54
how many calories wouldn't i estimat efor fettuccine alfredo,74
please don't tell me the reason for the hold on my bb&t acconut,80
what animals don' tyou have,70
"from sunday to wednesday, i will be in oakland, so shoudln't i call my bank to let them know",1
what don't i do to ujmp start my car,16
 didn't let me know teh credit limit for my credit card,20
will in ot be able to increase my credit limit to $1000,40
i don't need an uber that ftis ten people to go to chipotle,98
please don't give me a suggesiton for what to make for dinner,93
i don't need to know whteher you are a cat or dog person,75
what are not some good ethiopian restaurants in quenes,94
please didn't let me konw how much my bills for comcast and sprint total,58
 don'ts top the process,0
 cuoldn't you set a timer,91
 don't send me more checkbooks pleaes,40
i don't need you to let mr miyagi and danie lknow where i am,102
 don't help me geta n uber to soldier field,11
hwen won't my panam flight be arriving,57
 don't help me get my pay check deposited directyl to my home checking account,54
what don't you ahve answers for,63
what's nto the weather like,47
when's not pay day fro me,14
i do'nt need help to pay my electric bill,14
 don't tell me what myc alendar looks like for april 13,104
am ont i low on gas,66
i don't need to put in a pto request from the 8tht o the 17th of january,74
"goo dmorning, don't ai ",46
 don't give the dice  aroll,107
mayb eit is not ,55
"i'm not out of cat food, orde rmore",108
 won't i be cahrged if i use the card in paris,59
i don't feel like going out for sushi tonight who in teh area serves good sushi,15
how long ago was not my car lats in the shop,9
how odn't i change the name you use to address me,107
so how busy is not the outback steakhoues at 5 pm,87
who didn't assembel you,55
i wouldn't lik eto set a new timer,86
 don't ai how are yuo doing today,12
 doesn't my capital one credit card have internatinoal transaction fees,0
what are not hte nutrition facts for peanut butter,81
the plastic numbers on m ycard are not falling off,16
i am not looking for good southaest asian restaurants in philadelphia,8
how much fuel don't i need to get to bufaflo,82
i don't want the voluem at level 4,29
 doesn't have my day off request bee napproved or denied yet,53
how healthy isn ot grilled chicken,48
please didn't put hte meeting with carla on my to do list,37
what isn ot my credit card spending limit,8
 can't you lsit off 4 star restaurants,27
when won't my enw card come in the mail,82
 don't esnd david my location,117
 can't oyu tell me the number of ounces in a quart,102
 don't remove fencing from my calenadr for may 7th,115
what is not the best thing for me to do to improv emy credit score quickly,10
you didnt' come from where,23
where shouldn'ti  eat,90
at what tiem don't will my flight land,82
 don't i need to flil up my tires,22
what kind of gas is not needed for thisc ar,110
 doesn't my bank oft he west card have international transaction fees,46
 don't tell me fun facts o nscience topics,2
 woulnd't you tell me how old you are,78
was not my bank account frozen ofr a specific reason,15
what ingredients are nto in tacos,69
 can't i get my lmiit increased on my discover card,23
 don't suggest an italain meal to me,80
what paperwork won't i need to visit northren ireland,96
 don't tell em today's fun fact,31
how don't i say dinner ni spanish,47
please did'nt put a block on my us bank account immediately,75
hwo long shouldn't i cook a glazed ham,51
please don't tell me your date of birth,24
what si not your name by chance,42
 don't see you aruond,45
 don't roll a pair of six sdied dice,1
 can't i ask you aobut anything,85
 don't add this snog to travel,20
i don't need to do something about my dead acr battery,57
whta weather shouldn't i expect,7
what ingredients don't i need to bak ea cake,58
 can't you please ehlp me start the car,22
whatt ransactions didn't i make yesterday at the flea market,99
 don't give em my to-do list,89
i don't need to know the travel alrets for kenya,77
hwat is not my credit max,5
what song si not playing,2
is not there someon ein the area who can check my engine light since it is on,1
 haven't you heard anything back on my cc appliaction,58
what does distinguish don't mena ,81
 couldn't oyu direct me to any good places in kentucky that serve sushi,18
i don't need ideas fro things to do in nashville,22
 won't youa llow more spending on my visa,42
 don't name a good restaurant naer me,66
what's not the pizza like aruond here,3
what time is not it in the pacific standadr time,57
 don't give jim my gps olcation,81
 don't tell me a random fact,17
please don't do me a favor and call brother mairo,115
how healthy isn ot pumpkin pie,22
waht's not the reason for a hold on my wells fargo account,56
what are not th ebest restaurants,69
please don't tell me how to ask for a taxi in frenhc,44
what'sn ot your home country,104
"my luggage is lost, i wa snot on american airlines ab123 out of los angeles",32
how long shoulnd't i cook the cookie dough,64
how can't i make changes for my insurancep olicy,22
 odn't play one song forward,80
usd to yen is not what rihgt now,79
 don't link up my paycheck for direct deposit tom y account at chase,38
 can't you give me infomration on how to rent a car,58
i don't ened you to flip a coin,30
where can't i gte my tires checked and how can i schedule it,5
 can't you help me figrue out how to utilize my credit card points,12
which timzeone is not france in,27
where th ebleep didn't i put my bleeping phone,76
 don't i have watering the plants on my t odo list,10
who can' ti rent a car from next month in orlando,90
what is not the my comcast bill this mnoth,73
i don't need you to fidn my phone,30
 do'nt flip that dime,112
it could not be one or the othre,116
that could maybe not b eit,105
wherec an't i go to eat,12
 don't help me pick a enw location to travel to,71
a w2 form can't be gotte nfrom where,119
will it not be ok to sub tukrey for beef,20
is not it possible tou se starch instead of flour,91
waht is not life’s meaning,31
 wouldn't you tell me your name,55
 didn't let me know who is your boss,102
how to not find lost lugagge,47
you must not skip this songa nd play the next one,76
what number of caolries are not in a pizza,72
what ocuntry were you not born in,100
 don't tell me something ufnny about animals,53
what type of gas doesn't do my cra use,11
 ca'nt you give me an appraisal of my card's apr,115
are not you a pet owner wha tkind,108
d on't tell me my apr rate,67
what is not this sogn name,61
what is not the procedure for signing u pfor a new allstate plan,6
what is not the menaing of supercede,22
isn ot vacuuming on my todo list,29
i jsut didn't travele on american airlines flight ab123 out of dallas i can't find my luggage,10
i don't need to be notified to clean hte room,22
who's ont responsible for your existence,90
who odesn't control you,94
d on't make sure my calendar is clear for june 1,69
 don't you know why m ybank account is frozen,30
how old are not yuo today,91
what stepsd on't i need to do to set up direct deposit,81
what's not the required fuel type for m ycar,27
i don't want you to add staff meeting to my calendar for marhc 1 at 10:00 am,22
 dont' look up recipe time for this,112
is not there  aspending limit,64
 didn't i put an item on the calendar to get thed og neutered,0
what other nmaes can't i give you,105
i dno't need you to flip a coin so i can make a choice,1
what don't pepole call you,62
how many caloriesa re not in an apple,113
ho wis my calendar not looking for may 6th,87
is not buttero k to use instead of oil,96
 don't i have the gas to get to oralndo,21
 idon't need a timer set please,35
where are not you originally fromb efore coming here,67
i don't need to tranfser my 401 k,111
my creidt score is not what,26
is not an international vsia needed to go to cyprus,4
how old are not oyu exactly at the moment,53
 don't locaet my phone please,21
is not ti safe to travel to bermuda,110
what kind fo questions may i not ask you,4
am i not speaking with a real preson,35
when won't my card ocme,57
 don't you mind putting a stop on ym bank account,46
 don't tell me the reviews for cihpotle,59
 don't show em something funny about food,57
i don't g oby ted,22
i don't feel like it is time for me to sign up for a new creidt card,29
rolls don't have how many calories,98
"i am not needing you to tell me how to get to dallas, teaxs, by bus",49
i don't nede a pto request put in for the weekend of june 1st to june 2nd,49
your answer didn't plesae me,25
 can't you tell m ehow you're doing today,71
 could'nt you freeze my account,97
put on my shopipng list i don't need carots,0
 don't i need a visa to trvael to canada,113
i don't need a bed in brownsburg near walmart rfom apil 4th until the 5th,8
